DATE,TIME,OPEN,HIGH,LOW,CLOSE
2023.01.03,01:00:00,1826.57,1830.72,1825.87,1826.11
2023.01.03,01:15:00,1826.1,1829.08,1823.52,1827.94
2023.01.03,01:30:00,1827.92,1828.36,1826.91,1827.95
2023.01.03,01:45:00,1827.8,1829.44,1827.73,1829.44
2023.01.03,02:00:00,1829.44,1832.05,1828.83,1831.6
2023.01.03,02:15:00,1831.63,1832.18,1830.26,1831.4
2023.01.03,02:30:00,1831.41,1832.09,1831.14,1831.38
2023.01.03,02:45:00,1831.38,1831.68,1830.24,1830.66
2023.01.03,03:00:00,1830.66,1832.55,1827.6,1829.6
2023.01.03,03:15:00,1829.59,1830.91,1826.83,1828.22
2023.01.03,03:30:00,1828.22,1830.62,1826.93,1827.81
2023.01.03,03:45:00,1827.82,1829.92,1827.05,1828.53
2023.01.03,04:00:00,1828.55,1831.03,1828.53,1829.69
2023.01.03,04:15:00,1829.64,1830.8,1828.34,1830.51
2023.01.03,04:30:00,1830.51,1838.48,1830.43,1838.24
2023.01.03,04:45:00,1838.24,1839.9,1837.3,1838.41
2023.01.03,05:00:00,1838.42,1841.36,1838.41,1840.91
2023.01.03,05:15:00,1840.93,1843.14,1839.99,1841.69
2023.01.03,05:30:00,1841.69,1841.87,1840.51,1841.09
2023.01.03,05:45:00,1841.08,1842.13,1840.52,1841.24
2023.01.03,06:00:00,1841.24,1842.09,1840.85,1841.95
2023.01.03,06:15:00,1841.95,1842.0,1840.56,1841.2
2023.01.03,06:30:00,1841.17,1842.16,1841.07,1841.88
2023.01.03,06:45:00,1841.92,1842.14,1840.33,1840.41
2023.01.03,07:00:00,1840.43,1841.15,1839.95,1840.05
2023.01.03,07:15:00,1840.05,1840.7,1837.99,1838.15
2023.01.03,07:30:00,1838.15,1840.21,1838.11,1840.11
2023.01.03,07:45:00,1840.15,1840.97,1839.75,1840.39
2023.01.03,08:00:00,1840.38,1842.42,1840.36,1842.41
2023.01.03,08:15:00,1842.39,1844.26,1841.77,1841.92
2023.01.03,08:30:00,1841.92,1842.0,1840.01,1840.93
2023.01.03,08:45:00,1840.88,1842.29,1840.35,1841.95
2023.01.03,09:00:00,1841.94,1842.72,1841.1,1842.43
2023.01.03,09:15:00,1842.43,1847.64,1842.43,1847.27
2023.01.03,09:30:00,1847.27,1849.99,1847.01,1848.95
2023.01.03,09:45:00,1848.86,1849.27,1844.79,1847.56
2023.01.03,10:00:00,1847.58,1848.03,1842.38,1843.87
2023.01.03,10:15:00,1843.87,1844.38,1838.82,1840.6
2023.01.03,10:30:00,1840.6,1840.66,1836.43,1836.57
2023.01.03,10:45:00,1836.53,1837.3,1834.56,1836.13
2023.01.03,11:00:00,1836.13,1838.26,1834.82,1837.76
2023.01.03,11:15:00,1837.76,1841.44,1837.6,1841.36
2023.01.03,11:30:00,1841.36,1841.93,1837.73,1840.84
2023.01.03,11:45:00,1840.84,1841.27,1838.1,1838.87
2023.01.03,12:00:00,1838.79,1839.4,1838.16,1839.11
2023.01.03,12:15:00,1839.1,1839.26,1837.62,1838.01
2023.01.03,12:30:00,1838.0,1838.29,1834.49,1836.27
2023.01.03,12:45:00,1836.36,1836.57,1833.72,1834.5
2023.01.03,13:00:00,1834.5,1834.85,1832.59,1832.71
2023.01.03,13:15:00,1832.72,1834.42,1831.7,1833.22
2023.01.03,13:30:00,1833.22,1833.6,1830.85,1831.23
2023.01.03,13:45:00,1831.23,1833.28,1830.93,1833.19
2023.01.03,14:00:00,1833.2,1834.0,1831.74,1833.61
2023.01.03,14:15:00,1833.61,1835.58,1833.29,1835.39
2023.01.03,14:30:00,1835.47,1836.41,1833.93,1835.57
2023.01.03,14:45:00,1835.61,1835.86,1833.73,1834.63
2023.01.03,15:00:00,1834.86,1838.05,1834.18,1837.16
2023.01.03,15:15:00,1837.19,1840.55,1837.04,1838.89
2023.01.03,15:30:00,1838.97,1840.41,1837.04,1839.85
2023.01.03,15:45:00,1839.86,1841.02,1838.49,1838.9
2023.01.03,16:00:00,1838.9,1839.13,1836.71,1838.88
2023.01.03,16:15:00,1838.88,1841.34,1838.8,1841.24
2023.01.03,16:30:00,1841.26,1849.17,1839.49,1847.71
2023.01.03,16:45:00,1847.71,1849.86,1844.96,1844.97
2023.01.03,17:00:00,1844.9,1845.48,1837.85,1839.03
2023.01.03,17:15:00,1839.02,1840.07,1832.61,1833.66
2023.01.03,17:30:00,1833.66,1833.66,1827.58,1828.79
2023.01.03,17:45:00,1828.81,1834.02,1828.27,1833.25
2023.01.03,18:00:00,1833.21,1834.22,1828.84,1829.61
2023.01.03,18:15:00,1829.6,1830.7,1828.25,1830.03
2023.01.03,18:30:00,1830.03,1831.59,1828.76,1831.27
2023.01.03,18:45:00,1831.18,1834.35,1828.57,1834.33
2023.01.03,19:00:00,1834.33,1836.2,1834.04,1836.04
2023.01.03,19:15:00,1835.99,1837.81,1835.35,1837.4
