datetime,type,price,size
2023-12-29 15:00:00,buy,2065.5,1
2023-12-29 15:15:00,sell,2063.52,-1
2023-12-29 15:15:00,sell,2063.52,-1
2023-12-29 15:15:00,sell,2063.52,-1
2023-12-29 15:30:00,buy,2065.38,2
2023-12-29 15:30:00,buy,2065.38,2
2023-12-29 15:45:00,sell,2064.55,-2
2023-12-29 15:45:00,sell,2064.55,-2
2023-12-29 15:45:00,sell,2064.55,-2
2023-12-29 16:10:00,buy,2059.67,4
2023-12-29 16:45:00,buy,2062.53,1
2023-12-29 16:45:00,buy,2062.53,1
2023-12-29 16:45:00,buy,2062.53,1
2023-12-29 17:00:00,sell,2062.82,-3
2023-12-29 17:15:00,buy,2063.7,1
2023-12-29 17:15:00,sell,2063.7,-1
2023-12-29 17:15:00,sell,2063.7,-1
2023-12-29 17:45:00,buy,2063.52,1
2023-12-29 17:45:00,buy,2063.52,1
2023-12-29 18:00:00,sell,2064.89,-1
2023-12-29 18:15:00,sell,2065.33,-1
2023-12-29 18:15:00,sell,2065.33,-1
2023-12-29 18:15:00,sell,2065.33,-1
2023-12-29 18:30:00,buy,2064.51,3
2023-12-29 18:30:00,buy,2064.51,3
2023-12-29 18:45:00,sell,2064.25,-3
2023-12-29 18:45:00,sell,2064.25,-3
2023-12-29 18:45:00,sell,2064.25,-3
2023-12-29 19:00:00,buy,2066.11,6
2023-12-29 19:15:00,sell,2066.43,-1
2023-12-29 19:15:00,sell,2066.43,-1
2023-12-29 19:15:00,buy,2066.43,1
2023-12-29 19:30:00,buy,2066.75,1
2023-12-29 19:30:00,buy,2066.75,1
2023-12-29 19:30:00,buy,2066.75,1
2023-12-29 20:15:00,sell,2064.52,-2
2023-12-29 20:15:00,sell,2064.52,-2
2023-12-29 20:15:00,sell,2064.52,-2
2023-12-29 20:45:00,buy,2065.09,4
2023-12-29 21:00:00,buy,2064.84,1
2023-12-29 21:00:00,buy,2064.84,1
2023-12-29 21:00:00,sell,2064.84,-1
2023-12-29 21:15:00,sell,2064.6,-1
2023-12-29 21:15:00,sell,2064.6,-1
2023-12-29 21:15:00,sell,2064.6,-1
2023-12-29 21:30:00,buy,2064.89,2
2023-12-29 21:45:00,buy,2066.96,1
2023-12-29 21:45:00,buy,2066.96,1
2023-12-29 21:45:00,buy,2066.96,1
2023-12-29 22:30:00,sell,2065.79,-3
2023-12-29 22:30:00,sell,2065.79,-3
2024-01-02 01:15:00,buy,2065.7,3
2024-01-02 01:15:00,buy,2065.7,3
2024-01-02 01:45:00,sell,2064.47,-3
2024-01-02 01:45:00,sell,2064.47,-3
2024-01-02 02:15:00,buy,2064.05,3
2024-01-02 02:15:00,buy,2064.05,3
2024-01-02 02:30:00,sell,2063.3,-3
2024-01-02 02:30:00,sell,2063.3,-3
2024-01-02 02:30:00,sell,2063.3,-3
2024-01-02 02:45:00,buy,2064.5,6
2024-01-02 03:00:00,buy,2065.43,1
2024-01-02 03:00:00,buy,2065.43,1
2024-01-02 03:00:00,buy,2065.43,1
2024-01-02 03:45:00,sell,2068.18,-3
2024-01-02 04:00:00,buy,2066.5,1
2024-01-02 04:00:00,buy,2066.5,1
2024-01-02 04:00:00,buy,2066.5,1
2024-01-02 04:15:00,sell,2064.62,-3
2024-01-02 04:15:00,sell,2064.62,-3
2024-01-02 04:15:00,sell,2064.62,-3
2024-01-02 04:45:00,buy,2067.44,6
2024-01-02 05:00:00,buy,2067.83,1
2024-01-02 05:00:00,buy,2067.83,1
2024-01-02 05:00:00,buy,2067.83,1
2024-01-02 05:15:00,sell,2068.97,-3
2024-01-02 05:30:00,buy,2069.76,1
2024-01-02 05:30:00,buy,2069.76,1
2024-01-02 05:30:00,buy,2069.76,1
2024-01-02 07:00:00,sell,2069.67,-3
2024-01-02 07:15:00,buy,2071.69,1
2024-01-02 07:15:00,buy,2071.69,1
2024-01-02 07:15:00,buy,2071.69,1
2024-01-02 09:00:00,sell,2074.01,-3
2024-01-02 09:00:00,sell,2074.01,-3
2024-01-02 09:15:00,buy,2075.41,3
2024-01-02 09:15:00,buy,2075.41,3
2024-01-02 10:00:00,sell,2073.27,-3
2024-01-02 10:15:00,buy,2074.03,1
2024-01-02 10:15:00,buy,2074.03,1
2024-01-02 10:15:00,buy,2074.03,1
2024-01-02 10:30:00,sell,2072.72,-3
2024-01-02 10:30:00,sell,2072.72,-3
2024-01-02 10:30:00,sell,2072.72,-3
2024-01-02 11:15:00,buy,2074.63,6
2024-01-02 11:30:00,buy,2074.65,1
2024-01-02 11:30:00,buy,2074.65,1
2024-01-02 11:30:00,buy,2074.65,1
2024-01-02 12:15:00,sell,2075.05,-3
2024-01-02 12:15:00,sell,2075.05,-3
2024-01-02 12:45:00,buy,2075.72,3
2024-01-02 12:45:00,buy,2075.72,3
2024-01-02 13:15:00,sell,2073.98,-3
2024-01-02 13:15:00,sell,2073.98,-3
2024-01-02 13:30:00,buy,2075.03,3
2024-01-02 13:45:00,buy,2068.89,1
2024-01-02 13:45:00,buy,2068.89,1
2024-01-02 13:45:00,buy,2068.89,1
